City_ID,City,Lat,Lng,Currently,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
61,Kavaratti,10.5669,72.642,Clouds,82.6,78,91,17.9,IN,2021-07-17 16:30:53
62,Altayskoye,51.9533,85.3325,Clouds,56.91,89,82,6.33,RU,2021-07-17 16:30:54
63,Hilo,19.7297,-155.09,Rain,72.81,89,90,6.91,US,2021-07-17 16:30:47
64,Kuito,-12.3833,16.9333,Clear,63.09,34,0,2.19,AO,2021-07-17 16:30:54
65,Havelock,34.8791,-76.9013,Clear,89.56,77,6,8.01,US,2021-07-17 16:30:54
66,Port Elizabeth,-33.918,25.5701,Clear,57.49,67,0,11.5,ZA,2021-07-17 16:30:55
67,Beringovskiy,63.05,179.3167,Clouds,48.4,89,70,9.37,RU,2021-07-17 16:30:55
68,Narasannapeta,18.4167,84.05,Clouds,82.47,81,97,5.66,IN,2021-07-17 16:30:55
69,Taltal,-25.4,-70.4833,Clouds,63.48,62,100,3.18,CL,2021-07-17 16:30:55
70,Lokosovo,61.1333,74.8167,Clouds,54.64,91,100,4.41,RU,2021-07-17 16:30:56
71,Luderitz,-26.6481,15.1594,Clear,64.29,49,0,12.55,NA,2021-07-17 16:30:56
72,Sambava,-14.2667,50.1667,Clear,72.0,81,9,12.48,MG,2021-07-17 16:30:56
73,Marsa Matruh,31.3525,27.2453,Clouds,82.6,74,40,19.57,EG,2021-07-17 16:30:56
74,Talnakh,69.4865,88.3972,Rain,53.17,90,87,2.19,RU,2021-07-17 16:30:57
75,Buchanan,5.8808,-10.0467,Rain,75.16,88,100,11.01,LR,2021-07-17 16:30:57
76,Bucerias,20.75,-105.3333,Clouds,86.99,65,75,0.0,MX,2021-07-17 16:27:22
77,Marsh Harbour,26.5412,-77.0636,Clear,82.71,70,5,12.73,BS,2021-07-17 16:30:57
78,Tucuman,-26.8241,-65.2226,Clouds,59.0,26,40,5.75,AR,2021-07-17 16:30:57
79,Mapastepec,15.4333,-92.9,Clouds,88.86,58,98,4.34,MX,2021-07-17 16:30:58
80,Vao,-22.6667,167.4833,Clear,72.23,81,0,6.55,NC,2021-07-17 16:30:58
81,Chokurdakh,70.6333,147.9167,Clouds,37.65,81,86,13.49,RU,2021-07-17 16:30:58
82,Bambous Virieux,-20.3428,57.7575,Rain,72.21,73,40,13.8,MU,2021-07-17 16:30:59
83,Maicao,11.3832,-72.2432,Clouds,90.79,49,49,17.13,CO,2021-07-17 16:30:59
84,Jamsa,61.8642,25.19,Clouds,77.68,40,28,6.8,FI,2021-07-17 16:30:59
85,Tasiilaq,65.6145,-37.6368,Clouds,44.76,71,83,8.32,GL,2021-07-17 16:30:59
86,Kaitangata,-46.2817,169.8464,Clouds,46.8,96,100,7.14,NZ,2021-07-17 16:31:00
87,Rocha,-34.4833,-54.3333,Clouds,52.79,53,43,16.78,UY,2021-07-17 16:31:00
88,Goderich,43.7501,-81.7165,Clouds,73.72,60,100,11.5,CA,2021-07-17 16:31:00
89,Tuatapere,-46.1333,167.6833,Clouds,45.82,97,100,3.02,NZ,2021-07-17 16:31:01
90,Hauterive,46.0901,3.4459,Clouds,77.02,62,35,8.95,FR,2021-07-17 16:31:01
91,Airai,-8.9266,125.4092,Clouds,56.55,75,80,1.32,TL,2021-07-17 16:31:01
92,Acari,-15.4311,-74.6158,Clouds,74.68,50,28,8.32,PE,2021-07-17 16:31:02
93,Paka,4.6374,103.4368,Clouds,80.53,94,79,0.0,MY,2021-07-17 16:31:02
94,Bilibino,68.0546,166.4372,Clouds,54.66,79,95,2.1,RU,2021-07-17 16:31:03
95,Karaton,-6.3424,106.1045,Clouds,81.95,87,26,1.23,ID,2021-07-17 16:31:03
96,Atuona,-9.8,-139.0333,Rain,77.74,77,66,26.26,PF,2021-07-17 16:31:03
97,Nombre De Dios,23.85,-104.2333,Clouds,65.75,48,79,2.42,MX,2021-07-17 16:31:04
98,Yerbogachen,61.2767,108.0108,Clouds,65.61,77,21,6.2,RU,2021-07-17 16:31:04
99,Hare Bay,48.8499,-54.0148,Clouds,70.95,72,100,10.47,CA,2021-07-17 16:31:04
100,Esperance,-33.8667,121.9,Clouds,53.44,77,89,8.95,AU,2021-07-17 16:31:05
101,Ambulu,-8.345,113.6058,Clouds,72.36,87,45,3.8,ID,2021-07-17 16:31:05
102,Kloulklubed,7.0419,134.2556,Clouds,77.5,71,100,2.71,PW,2021-07-17 16:31:05
103,Hermanus,-34.4187,19.2345,Clear,59.9,90,5,5.84,ZA,2021-07-17 16:31:05
104,Nanortalik,60.1432,-45.2371,Clouds,52.02,70,95,15.99,GL,2021-07-17 16:31:06
105,Wattegama,6.7989,81.4808,Clouds,76.48,90,97,5.59,LK,2021-07-17 16:31:06
106,Qaanaaq,77.484,-69.3632,Clouds,36.41,90,92,6.96,GL,2021-07-17 16:31:06
107,Tiksi,71.6872,128.8694,Clouds,37.4,80,98,12.48,RU,2021-07-17 16:31:06
108,Vila Franca Do Campo,37.7167,-25.4333,Clouds,72.01,64,20,6.6,PT,2021-07-17 16:31:07
109,Pestovo,58.5938,35.8024,Clear,71.91,48,1,5.39,RU,2021-07-17 16:31:07
110,Ponta Do Sol,32.6667,-17.1,Clear,84.7,68,4,2.77,PT,2021-07-17 16:31:07
111,Saldanha,-33.0117,17.9442,Clear,60.85,90,0,11.3,ZA,2021-07-17 16:31:07
112,Mar Del Plata,-38.0023,-57.5575,Clouds,50.09,65,75,15.99,AR,2021-07-17 16:31:08
113,Cherskiy,68.75,161.3,Clouds,56.48,82,100,10.51,RU,2021-07-17 16:31:08
114,Raisinghnagar,29.5358,73.4492,Clouds,99.3,43,83,15.03,IN,2021-07-17 16:31:08
