City_ID,City,Country,Max Temp,Currently,Lat,Lng,Hotel Name
162,Jamsa,FI,74.08,Clear,61.8642,25.19,Motel Patalahti
164,Chernyanka,RU,73.47,Clouds,50.9409,37.8069,"Tsentral'naya, Gostinitsa"
165,Turkan,AZ,80.78,Clear,40.3639,50.215,Samir Зона Отдыха
167,Hualmay,PE,68.29,Clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
168,Guerrero Negro,MX,78.55,Clear,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
176,Porto Santo,PT,73.31,Clouds,33.072,-16.3415,Hotel Porto Santo & Spa
177,Kahului,US,82.98,Clouds,20.8947,-156.47,Maui Seaside Hotel
180,Prestea,GH,74.79,Clouds,5.4327,-2.1428,Channel 5
186,Bay Roberts,CA,75.65,Clouds,47.5999,-53.2648,Stonewall Inn
187,Surami,GE,70.54,Clouds,42.0243,43.5556,Surami Treehouse
188,Eskisehir,TR,78.71,Clear,39.7767,30.5206,Hotel ibis Eskisehir
189,Thompson,CA,67.39,Clear,55.7435,-97.8558,Burntwood Hotel
193,Manado,ID,77.77,Clouds,1.487,124.8455,Aryaduta Hotel
201,Ugoofaaru,MV,81.54,Clouds,5.6667,73.0,Ungoofaaru Inn
202,Hami,CN,81.73,Clouds,42.8,93.45,Laoyutang Resort
203,Kavieng,PG,82.38,Clouds,-2.5744,150.7967,Nusa Island Retreat
204,Chalons-En-Champagne,FR,77.09,Clear,48.9539,4.3672,Hotel D'Angleterre
205,Prabumulih,ID,71.89,Clear,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
212,Joao Pessoa,BR,77.23,Clouds,-7.115,-34.8631,Lagos Empreendimentos Ltda.
215,Madang,PG,75.87,Clouds,-5.2246,145.7966,Comfort Inn Hotel
216,Monrovia,LR,76.77,Rain,6.3005,-10.7969,Sunset Inn
220,Axim,GH,76.35,Clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
221,Olinda,BR,74.93,Clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
224,Thaton,MM,78.21,Clouds,16.9206,97.3714,Tain Pyar Guest House
225,Beruwala,LK,79.7,Clouds,6.4788,79.9828,The Palms Hotel
226,Matagami,CA,84.43,Clouds,49.7502,-77.6328,Hôtel Matagami
227,Gloversville,US,73.94,Clouds,43.0528,-74.3438,"Holiday Inn Johnstown-Gloversville, an IHG Hotel"
228,Namatanai,PG,78.67,Clouds,-3.6667,152.4333,Seagulls Inn Namatani
230,Tabou,CI,76.84,Clouds,4.423,-7.3528,hotêl doufoulougou
234,Vila Velha,BR,80.96,Clear,-20.3297,-40.2925,Quality Suites Vila Velha
237,Hasaki,JP,72.0,Clouds,35.7333,140.8333,Hotel Sunrise Choshi
239,Fuerte Olimpo,PY,69.51,Clouds,-21.0415,-57.8738,Hospedaje DAMI
241,Manggar,ID,80.04,Clouds,-2.8833,108.2667,Guest Hotel
242,Manta,EC,78.87,Clouds,-0.95,-80.7333,Balandra Hotel
243,Hithadhoo,MV,82.74,Clouds,-0.6,73.0833,Scoop Guest House
245,College,US,73.09,Smoke,64.8569,-147.8028,Pike's Waterfront Lodge
250,Birsk,RU,65.41,Clear,55.4211,55.5428,Kvartiry Posutochno V Birske
253,Ranong,TH,79.34,Clouds,9.9658,98.6348,Tinidee Hotel@Ranong
254,Srivardhan,IN,80.53,Rain,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
260,Corinth,GR,84.76,Clear,37.9407,22.9573,Ephira Hotel
268,Bengkulu,ID,75.15,Clouds,-3.8004,102.2655,Grage Hotel Bengkulu
269,Herstal,BE,73.18,Clouds,50.6642,5.6235,Globales Post Hotel & Wellness
272,Pemba,MZ,75.49,Clouds,-12.974,40.5178,Guesthouse Samotina
273,Ljungby,SE,73.81,Clouds,56.8332,13.9408,Hotel Terraza
274,Kano,NG,81.5,Clouds,12.0001,8.5167,Havana Guest Inn
275,Marpingen,DE,72.55,Clouds,49.4523,7.0582,Hotel Schauenburg
277,Kamaishi,JP,73.45,Clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
278,Praia Da Vitoria,PT,72.75,Clear,38.7333,-27.0667,Hotel Branco I
283,Ternate,ID,79.59,Clouds,0.8,127.4,Grand Dafam Bela Ternate
284,Darhan,MN,66.6,Clouds,49.4867,105.9228,Buudai Hotel
287,Aksu,CN,74.23,Clouds,41.1231,80.2644,Pudong Holiday Hotel
289,Townsville,AU,65.28,Clouds,-19.25,146.8,Rydges Southbank Townsville
291,Khash,IR,81.97,Clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
293,Perwez,BE,71.83,Clear,50.6167,4.8167,B&B La chambre d'à Côté
299,Hambantota,LK,79.68,Clouds,6.1241,81.1185,Bungalow 63
300,Meulaboh,ID,75.96,Clouds,4.1363,96.1285,Kost Pria
303,Biltine,TD,79.48,Clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
306,Innisfail,AU,68.76,Clouds,-17.5333,146.0333,Moondarra Motel
308,Fortuna,US,67.93,Clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
311,Shelburne,CA,73.6,Clouds,44.0787,-80.2041,The Retreat at the Farm
314,Bardiyah,LY,78.55,Clear,31.7561,25.0865,بورتو بردية
316,Psebay,RU,68.47,Clear,44.1234,40.8107,Lis'ya Nora
317,Port Hawkesbury,CA,81.9,Clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
318,Amiens,FR,76.06,Clear,49.9,2.3,Grand Hôtel de l'Univers
319,Gerede,TR,66.24,Clear,40.8008,32.1969,Hotel Konuk
321,Assenede,BE,74.05,Clear,51.226,3.7509,Hotel Royal Sas van Gent
322,Pangai,TO,76.89,Clear,-19.8,-174.35,Ha'apai Beach Resort
324,Maceio,BR,80.04,Clouds,-9.6658,-35.7353,Poutur Pousada
325,Minna,NG,76.55,Clouds,9.6139,6.5569,Royal Park hotel & suites
326,Tumsar,IN,84.24,Clouds,21.3833,79.7333,Sai Guest House
328,Hirara,JP,83.1,Clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
332,Nikolskoye,RU,73.29,Clear,59.7035,30.7861,Tourist House - Sablino
333,Grand Baie,MU,71.46,Rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
335,Atasu,KZ,73.85,Clouds,48.6814,71.6433,Dostyk
336,Victoria,HK,84.33,Clouds,22.2855,114.1577,Mini Hotel Central
338,Badarganj,BD,79.14,Clouds,25.674,89.0549,Raushon
340,Temiscaming,CA,77.49,Clouds,46.7212,-79.0971,Auberge Canadienne
342,Batticaloa,LK,78.28,Clouds,7.7102,81.6924,Grand Star Guest House
343,Eureka,US,68.2,Clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
345,Villa De Reyes,MX,73.67,Clouds,21.8,-100.9333,HOTEL MARIA NATALIA
347,Georgiyevka,KZ,69.84,Clear,43.0369,74.7114,Gostinitsa Imperiya
348,Longhua,CN,76.8,Clouds,23.6137,114.1919,Huadu Hotel
350,Sao Filipe,CV,73.67,Clouds,14.8961,-24.4956,Hotel Xaguate
354,Asau,RO,72.52,Clear,46.4333,26.4,Casa Mika Ciobanus
355,Shache,CN,80.96,Clouds,38.4167,77.2406,Delong Hotel
356,Anito,PH,77.9,Clouds,12.4497,125.2886,The Yellow House
359,Erzin,TR,81.32,Clear,36.9559,36.2,Artemis Otel
360,Gobo,JP,77.95,Clouds,33.8833,135.15,Tabiji
361,Bamnet Narong,TH,76.53,Clouds,15.4992,101.6897,Jong Jaroen Resort
362,Tower,IE,76.32,Clouds,51.9167,-8.6,Blarney Castle Hotel
363,Northam,GB,77.67,Clear,51.0333,-4.2167,Durrant House Hotel
364,Dingle,PH,77.11,Rain,10.9995,122.6711,SEGAYA PROPERTY
365,Pizarro,CO,81.88,Rain,4.9533,-77.366,Hotel Limonar
366,Quchan,IR,72.48,Clear,37.106,58.5095,گلیم دستبافت کیمیایی
367,Kulhudhuffushi,MV,81.37,Clouds,6.6221,73.07,Hondaafushi Island Resort
369,Curup,ID,66.65,Clouds,-3.4667,102.5333,Ayi The Costel
370,Torbay,CA,74.88,Clouds,47.6666,-52.7314,Gallows Cove
371,Diego De Almagro,CL,78.1,Clouds,-26.3667,-70.05,hotel luna del desierto
372,Oktyabrskoye,RU,69.94,Clear,43.0645,44.7417,Prolesok Mini-hotel
376,Katsuura,JP,78.12,Clouds,35.1333,140.3,Katsuura Hotel Mikazuki
377,Pak Phanang,TH,78.64,Clear,8.3511,100.202,Green Park Inn Hotel
378,Antofagasta,CL,66.22,Clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
383,Bandarbeyla,SO,76.96,Clouds,9.4942,50.8122,JABIR HOTEL
386,Tshikapa,CD,78.71,Clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
389,Isangel,VU,75.51,Clouds,-19.55,169.2667,Tanna Lodge
390,Ornskoldsvik,SE,69.62,Clouds,63.2909,18.7153,ファーストホテル スタット
392,Dostpur,IN,81.43,Rain,26.2833,82.4667,SIR JOHN B.M.
394,Ijuin,JP,74.91,Clouds,31.6167,130.4,Hotel AZ Kagoshima Ijūin
395,Abay,KZ,66.58,Clouds,49.6311,72.8539,Guest House on Abaya 144
397,Asfi,MA,75.58,Clear,32.2994,-9.2372,Hôtel Abda
399,Mao,ES,77.56,Clouds,39.8885,4.2658,ARTIEM Capri
400,La Sarre,CA,81.9,Clear,48.8002,-79.1996,Motel Villa Mon Repos
401,Davila,PH,80.38,Clouds,18.4726,120.5763,Blue Ridge Beach Resort
404,Kashirskoye,RU,73.62,Clouds,51.4194,39.6125,Trekkholl
405,Xiamen,CN,79.29,Clouds,24.4798,118.0819,Xiamen Dongchen Hotel
407,Bud,US,80.19,Clouds,39.447,-86.1758,Ted McQuinn Trust
408,Lagoa,PT,67.77,Clear,39.05,-27.9833,Casa Das Faias
413,Jertih,MY,77.22,Clouds,5.7336,102.4897,One Utama Hotel
416,Mayumba,GA,71.33,Clouds,-3.432,10.6554,LIKWALE LODGE
417,Maracacume,BR,81.32,Clouds,-2.0428,-45.9592,Hotel Ramos
418,Biak,ID,73.18,Clouds,-0.9131,122.8766,Penginapan Kim
419,Senneterre,CA,84.27,Clouds,48.3835,-77.2328,Motel Senabi
420,Naze,JP,78.37,Rain,28.3667,129.4833,奄美ポートタワーホテル
422,Tole,UA,78.51,Clear,44.7167,33.8167,"Kompleks ""Rus'"""
423,San Quintin,MX,72.36,Clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
428,Matara,LK,79.3,Clouds,5.9485,80.5353,Amaloh Boutique Resort
430,Sao Joao Da Barra,BR,77.09,Clear,-21.6403,-41.0511,Pousada Porto De Canoas
432,Wiang Sa,TH,75.2,Clear,8.6359,99.3666,ชำนาญอินน์
435,Hailun,CN,69.78,Clouds,47.45,126.9333,Wanhao Hotel
436,Kokopo,PG,76.87,Clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
437,Pisco,PE,65.01,Clouds,-13.7,-76.2167,Hotel San Isidro Oficial
438,Kajaani,FI,66.25,Clear,64.2273,27.7285,Original Sokos Hotel Valjus
