City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Coquimbo,-29.9533,-71.3436,53.33,87,0,4.61,CL,2021-07-15 00:16:28
67,Remontnoye,46.5614,43.6501,72.01,42,28,6.71,RU,2021-07-15 00:20:57
68,Saint George,37.1041,-113.5841,102.67,26,1,7.0,US,2021-07-15 00:17:09
69,Charlestown,-32.95,151.6667,67.73,80,29,1.01,AU,2021-07-15 00:20:58
70,Georgetown,5.4112,100.3354,80.89,82,20,1.14,MY,2021-07-15 00:18:41
71,Leh,34.1667,77.5833,57.69,58,17,5.37,IN,2021-07-15 00:19:44
72,Inhambane,-23.865,35.3833,68.07,64,97,13.44,MZ,2021-07-15 00:20:58
73,Yellowknife,62.456,-114.3525,74.32,50,100,5.99,CA,2021-07-15 00:17:53
74,Bluff,-46.6,168.3333,46.8,58,87,6.96,NZ,2021-07-15 00:20:58
75,Floro,61.5996,5.0328,63.23,82,90,13.8,NO,2021-07-15 00:20:58
76,Longyearbyen,78.2186,15.6401,42.64,87,75,3.44,SJ,2021-07-15 00:16:57
77,Onguday,50.75,86.15,56.25,90,39,4.72,RU,2021-07-15 00:20:59
78,Cam Ranh,11.9214,109.1591,76.96,94,75,1.14,VN,2021-07-15 00:20:59
79,Kloulklubed,7.0419,134.2556,84.7,75,100,12.03,PW,2021-07-15 00:20:59
80,Necochea,-38.5473,-58.7368,42.04,70,97,9.17,AR,2021-07-15 00:20:59
81,Chuy,-33.6971,-53.4616,54.21,97,100,12.03,UY,2021-07-15 00:17:58
82,Darhan,49.4867,105.9228,66.54,73,6,4.74,MN,2021-07-15 00:21:00
83,General Roca,-39.0333,-67.5833,52.2,47,20,14.99,AR,2021-07-15 00:19:42
84,Hornepayne,49.2138,-84.7705,70.03,53,37,2.93,CA,2021-07-15 00:21:00
85,Sorland,67.667,12.6934,56.35,87,84,4.54,NO,2021-07-15 00:21:00
86,San Quintin,30.4833,-115.95,73.63,71,2,10.63,MX,2021-07-15 00:21:01
87,Saskylakh,71.9167,114.0833,48.88,55,100,19.82,RU,2021-07-15 00:21:01
88,Monte Azul,-15.155,-42.8747,67.64,67,32,6.76,BR,2021-07-15 00:21:01
89,Hermanus,-34.4187,19.2345,48.9,75,65,6.93,ZA,2021-07-15 00:21:01
90,Nouadhibou,20.931,-17.0347,69.78,88,1,10.36,MR,2021-07-15 00:21:02
91,Port Alfred,-33.5906,26.891,53.85,40,5,8.7,ZA,2021-07-15 00:21:02
92,Sur,22.5667,59.5289,84.42,74,100,3.78,OM,2021-07-15 00:21:02
93,Butaritari,3.0707,172.7902,83.44,77,7,13.71,KI,2021-07-15 00:21:02
94,Rio Gallegos,-51.6226,-69.2181,33.85,93,75,10.36,AR,2021-07-15 00:21:03
95,Asyut,27.181,31.1837,83.57,26,21,6.55,EG,2021-07-15 00:17:32
96,Prince Rupert,54.3161,-130.3201,59.29,67,100,3.65,CA,2021-07-15 00:21:03
97,Qaanaaq,77.484,-69.3632,38.59,98,100,2.53,GL,2021-07-15 00:21:03
98,Hami,42.8,93.45,80.35,38,99,8.52,CN,2021-07-15 00:21:04
99,Lata,40.1629,-8.3327,64.81,64,82,3.27,PT,2021-07-15 00:21:04
100,Hofn,64.2539,-15.2082,52.56,65,58,8.14,IS,2021-07-15 00:21:04
101,Vestmannaeyjar,63.4427,-20.2734,50.56,84,68,23.91,IS,2021-07-15 00:21:04
102,Cherskiy,68.75,161.3,66.58,48,21,11.88,RU,2021-07-15 00:21:05
103,Yumen,40.2833,97.2,74.97,41,87,2.64,CN,2021-07-15 00:21:05
104,Luderitz,-26.6481,15.1594,56.79,37,0,7.76,NA,2021-07-15 00:21:05
105,Bengkulu,-3.8004,102.2655,74.71,74,98,3.91,ID,2021-07-15 00:21:05
106,New Norfolk,-42.7826,147.0587,50.92,90,75,2.86,AU,2021-07-15 00:21:06
107,Fortuna,40.5982,-124.1573,86.18,87,90,1.99,US,2021-07-15 00:21:06
108,Leshukonskoye,64.8989,45.7622,57.42,93,40,2.42,RU,2021-07-15 00:20:17
109,Yatou,37.15,122.3833,77.29,92,95,14.38,CN,2021-07-15 00:21:06
110,Torbay,47.6666,-52.7314,63.88,82,4,15.52,CA,2021-07-15 00:18:08
111,Muttupet,10.4,79.4833,82.18,71,100,2.01,IN,2021-07-15 00:21:06
112,Padang,-0.9492,100.3543,71.65,73,92,3.76,ID,2021-07-15 00:21:07
113,Cape Town,-33.9258,18.4232,49.12,76,0,8.05,ZA,2021-07-15 00:21:07
114,Vao,-22.6667,167.4833,69.64,62,96,16.98,NC,2021-07-15 00:18:24
115,Suna,57.8338,50.0588,58.17,67,17,4.25,RU,2021-07-15 00:21:07
116,Boca Do Acre,-8.7522,-67.3978,80.29,51,13,2.62,BR,2021-07-15 00:21:07
117,Haukipudas,65.1765,25.3523,59.05,95,81,2.21,FI,2021-07-15 00:16:08
118,Barra Do Garcas,-15.89,-52.2567,72.79,35,0,0.65,BR,2021-07-15 00:21:08
119,Dauphin,51.1494,-100.0502,77.56,42,60,7.47,CA,2021-07-15 00:21:08
120,Ust-Nera,64.5667,143.2,68.81,54,54,9.44,RU,2021-07-15 00:21:08
121,Sitka,57.0531,-135.33,57.09,72,75,4.61,US,2021-07-15 00:21:09
122,Svetlyy,54.675,20.1347,71.65,86,35,13.73,RU,2021-07-15 00:21:09
123,Nenjiang,49.1833,125.2167,75.38,94,100,11.25,CN,2021-07-15 00:21:09
124,Steubenville,40.3698,-80.634,81.18,73,64,1.99,US,2021-07-15 00:21:09
125,Lompoc,34.6391,-120.4579,82.54,75,1,12.66,US,2021-07-15 00:16:43
126,Khandyga,62.6667,135.6,75.69,44,63,4.97,RU,2021-07-15 00:21:10
127,Vostok,46.4856,135.8833,79.77,68,100,1.99,RU,2021-07-15 00:17:56
128,Tulum,20.2167,-87.4667,84.97,80,94,6.67,MX,2021-07-15 00:21:10
129,Constitucion,-35.3333,-72.4167,47.79,81,0,7.78,CL,2021-07-15 00:17:22
130,Kudahuvadhoo,2.6708,72.8944,81.95,74,87,7.87,MV,2021-07-15 00:21:10
131,Ozernovskiy,51.5,156.5167,49.55,99,100,10.51,RU,2021-07-15 00:21:10
132,Mount Pleasant,32.7941,-79.8626,85.17,73,1,3.0,US,2021-07-15 00:19:29
133,Dikson,73.5069,80.5464,35.69,96,100,12.59,RU,2021-07-15 00:16:13
134,Khatanga,71.9667,102.5,45.16,77,100,19.26,RU,2021-07-15 00:19:15
135,Hilo,19.7297,-155.09,82.13,74,40,11.5,US,2021-07-15 00:19:49
136,Bubaque,11.2833,-15.8333,79.9,84,88,13.38,GW,2021-07-15 00:21:11
137,Gombong,-7.6072,109.5142,73.11,84,96,4.76,ID,2021-07-15 00:17:07
138,Nelson Bay,-32.7167,152.15,66.0,76,27,9.28,AU,2021-07-15 00:18:14
139,Ostrovnoy,68.0531,39.5131,49.71,97,100,17.58,RU,2021-07-15 00:16:57
140,Tazovskiy,67.4667,78.7,46.24,68,27,3.33,RU,2021-07-15 00:21:11
141,Pisco,-13.7,-76.2167,64.45,82,26,12.66,PE,2021-07-15 00:21:12
142,Yar-Sale,66.8333,70.8333,48.22,60,5,5.61,RU,2021-07-15 00:21:12
143,Aksu,41.1231,80.2644,71.08,48,29,6.15,CN,2021-07-15 00:21:12
144,Havelock,34.8791,-76.9013,83.05,85,21,1.99,US,2021-07-15 00:16:54
145,Yulara,-25.2406,130.9889,57.04,72,43,4.61,AU,2021-07-15 00:19:56
146,Puerto Ayora,-0.7393,-90.3518,71.55,89,63,4.0,EC,2021-07-15 00:21:12
147,Tasiilaq,65.6145,-37.6368,41.16,96,100,3.11,GL,2021-07-15 00:16:45
